verse_no,en,hmr
1,"Deliver me, O Jehovah, from the evil man; Preserve me from the violent man:","Aw LALPA, mi suola inthawk chun mi sanhim la, Mi nunrâwnga inthawk chun mi humhim rawh."
2,Who devise mischiefs in their heart; Continually do they gather themselves together for war.,"Anni chun an lungrilah thil suk- suolhai an ngaituo hlak a, Do dingin an inkhâwm rawp hlak."
3,They have sharpened their tongue like a serpent; Adders’ poison is under their lips. [Selah,"An lei chu rûl angin an suk- ngei a, An hner sûnga chun rûlriel tûr a um a."
4,"Keep me, O Jehovah, from the hands of the wicked; Preserve me from the violent man: Who have purposed to thrust aside my steps.","Aw LALPA, mi rilo kuta in- thawk chun mi vawng ṭha la, Mi nunrâwnga inthawk chun mi humhim rawh; Anni chun ka ke pênhai hi nam kâwi an tum a."
5,"The proud have hid a snare for me, and cords; They have spread a net by the wayside; They have set gins for me. [Selah","Mi chapohai chun ka âwkna dingin châng an kam rûk a, hruihruolhai leh; Lampui sîra chun lên an phah a, Ka âwkna dingin chânghai an kam a."
6,"I said unto Jehovah, Thou art my God: Give ear unto the voice of my supplications, O Jehovah.","LALPA kuoma chun, “Nang chu ka Pathien i na, Aw LALPA, lunginsiet ka hnina râwlhai hi lo ngaisak rawh."
7,"O Jehovah the Lord, the strength of my salvation, Thou hast covered my head in the day of battle.","Aw LALPA ka Pathien, ka san- damtu hrât, Nang chun indo nia chun ka lu i mîn khumpêk a;"
8,"Grant not, O Jehovah, the desires of the wicked; Further not his evil device, lest they exalt themselves. [Selah","Aw LALPA, mi rilo dit zâwng- hai chu phal naw la, An ngaituona suol chu inpui- tlingtir naw rawh; Chuong naw chun inchawimawi rawi an tih,” ka tih a."
9,"As for the head of those that compass me about, Let the mischief of their own lips cover them.","A mîn huolvêltuhai lu chu, Anni hmûra an thu suol hril chun inkhum raw se."
10,"Let burning coals fall upon them: Let them be cast into the fire, Into deep pits, whence they shall not rise.","Meilinghai an chungah tla sienla, Meia peiin um hai sienla, An tho nâwk ta nawna dingin khur inthûktakah peiin um raw se."
11,An evil speaker shall not be established in the earth: Evil shall hunt the violent man to overthrow him.,"Thu ṭha naw hriltu chu hnuoia hin sukdetin um naw nih a, Mi nunrâwng sukse dingin thil ṭha nawin tlâkbuok a tih."
12,"I know that Jehovah will maintain the cause of the afflicted, And justice for the needy.","LALPA chun rinum tuorhai chu an thuah ṭan a tih ti ka hriet, Pasiehai chu an ta dinga âwm hrima leh."
13,Surely the righteous shall give thanks unto thy name: The upright shall dwell in thy presence.,"Matheiloin mi felhai chun i hming inpâk an ta, Mi indikhai chu i hmaah um an tih."
