verse_no,en,hmr
1,"Bless Jehovah, O my soul; And all that is within me, bless his holy name.","Aw ka hringna, LALPA chu inpâk la, Ka sûnga um po pohai, a hming inthieng chu inpâk ro."
2,"Bless Jehovah, O my soul, And forget not all his benefits:","Aw ka hringna, LALPA chu inpâk la, A thilthaw ṭhat po po chu theinghil naw."
3,Who forgiveth all thine iniquities; Who healeth all thy diseases;,"Ama chun i rîtlona po po a ngaidam hlak a, I natna po po a sukdam hlak."
4,Who redeemeth thy life from destruction; Who crowneth thee with lovingkindness and tender mercies;,"Bohmangnaa inthawkin i hringna chu ân tlan hlak a, Zainêmna le lainatnahai ân khumtir hlak cheh a."
5,"Who satisfieth thy desire with good things, So that thy youth is renewed like the eagle.","I bau chu thil ṭhain a sukkhawp hlak a; chuongchun, i tleirâwlna chu mupui anga siemtharin a um nâwk hlak."
6,"Jehovah executeth righteous acts, And judgments for all that are oppressed.","LALPA chun nêksâwrna tuorhai po po ta dingin, Thil felhai thawpêkin, rohai a rêlpêk hlak."
7,"He made known his ways unto Moses, His doings unto the children of Israel.","A lampuihai chu Mosie ân hriettir a, A thil thawhai chu Israel thlahai ân hriettir bawk a."
8,"Jehovah is merciful and gracious, Slow to anger, and abundant in lovingkindness.","LALPA chu lainatnaa sip, mi lunginsiet theitak, Lunginuoitak, ngilneina hautak a nih."
9,He will not always chide; Neither will he keep his anger for ever.,"Ama chun hal rawp naw ni a, A lungsen chu vawng kumkhuo naw ni."
10,"He hath not dealt with us after our sins, Nor rewarded us after our iniquities.","Ei suolnahai angin ei chungah a thaw nawh a, Ei rîtlona angin a mi thung bawk nawh."
11,"For as the heavens are high above the earth, So great is his lovingkindness toward them that fear him.","Vân khi hnuoi chung insângtaka a um angin, Ama ṭituhai chungah a ngilneina chu a nasa a nih."
12,"As far as the east is from the west, So far hath he removed our transgressions from us.","Sak le thlang ân hlat angin, Ei bawsietnahai chu ei kuoma inthawkin a sie hmang dai tah a."
13,"Like as a father pitieth his children, So Jehovah pitieth them that fear him.","Pain a nauhai a lunginsiet ang hin, LALPA chun ama ṭituhai chu a lunginsiet hlak."
14,For he knoweth our frame; He remembereth that we are dust.,"Ei taksa siem dân hi a hriet a, Pilvut el ei nih ti a hriet zing leiin."
15,"As for man, his days are as grass; As a flower of the field, so he flourisheth.","Mihriem chu, a dam sûng nihai chu hlobet ang a na, Phûl pâr ang hin a vul hlak a."
16,"For the wind passeth over it, and it is gone; And the place thereof shall know it no more.","Thliin a mût a, a bo hlak a nih, A umna chun hre nâwk ta naw nih."
17,"But the lovingkindness of Jehovah is from everlasting to everlasting upon them that fear him, And his righteousness unto children’s children;","LALPA zainêmna ruok chu a ṭituhai chunga chun chatuona inthawka chatuon chenin um a ta, A felna khawm an thlahai thlahai chenin;"
18,"To such as keep his covenant, And to those that remember his precepts to do them.","A thuthlung zâwm taphawt le, A thuhrilhai awi tuma hre zinghai taphawt chunga chun."
19,Jehovah hath established his throne in the heavens; And his kingdom ruleth over all.,"LALPA chun a lalṭhungpha chu vâna khin a sukdet a, A ram chun iengkim chungah ro a rêl a."
20,"Bless Jehovah, ye his angels, That are mighty in strength, that fulfil his word, Hearkening unto the voice of his word.","A vântirkohai, a thu ngaia, a thu zâwma, hrâtnaa ropui hlakhai, LALPA chu inpâk ro."
21,"Bless Jehovah, all ye his hosts, Ye ministers of his, that do his pleasure.","A sipaihai, LALPA chu inpâk ro, A dit zâwng thawh a, a rawng bâwltuhai,"
22,"Bless Jehovah, all ye his works, In all places of his dominion: Bless Jehovah, O my soul.","A rorêlna hmun po poa a thilthaw po pohai, LALPA chu inpâk ro: Aw Ka hringna, LALPA chu inpâk rawh."
