verse_no,en,hmr
1,"I am a rose of Sharon, A lily of the valleys.","Sharon rose pâr, Phairuom lili ka nih. Tlangvâl"
2,"As a lily among thorns, So is my love among the daughters.","Hling laia lili ang hi A nih ka hmangaitak chu, nunghâkhai laia chun. Nunghâk"
3,"As the apple-tree among the trees of the wood, So is my beloved among the sons. I sat down under his shadow with great delight, And his fruit was sweet to my taste.","Ramhnuoi thinghai laia apple thing ang el A nih ka hmangaitak chu, tlangvâlhai laia chun. Inhawi titakin a hlima chun ka ṭhung a, A ra chu ka baua chun a thlum a nih."
4,"He brought me to the banqueting-house, And his banner over me was love.","Bu fâkna ina chun a mi ṭhuoi a, Ka chunga a puonzâr chu hmangaina a nih."
5,"Stay ye me with raisins, refresh me with apples; For I am sick from love.",Grêp ra ṭâwl bâwrhai le chun mîn umtir la Apple chun mi sukhlim rawh. Hmangainain ka na sih a.
6,"His left hand is under my head, And his right hand doth embrace me.","A kut vawitieng chu ka lu hnuoiah a um a, A kut changtieng chun a mi kuoh a."
7,"I adjure you, O daughters of Jerusalem, By the roes, or by the hinds of the field, That ye stir not up, nor awake my love, Until he please.","Aw Jerusalem naunuhai, ka ngên cheu, Phûla sazukpuihai le sakhihaiin, Ka hmangai chu sukṭhangin suktho naw ro, Ama a nuom hmakhat chun."
8,"The voice of my beloved! behold, he cometh, Leaping upon the mountains, Skipping upon the hills.","Ka hmangaitak râwl chu, ngai ta, a hung ie, Tlânghai chunga hung inchâwmin, muolhai chunga hung inhnelin."
9,"My beloved is like a roe or a young hart: Behold, he standeth behind our wall; He looketh in at the windows; He glanceth through the lattice.","Ka hmangaitak chu sakhi amanih, sazuk la amanih ang a na, Ngai ta, ei bang phênah a ngîr zing. A hung bi khu tukvera chun, Zâwngdaikal âwngah ân lang."
10,"My beloved spake, and said unto me, Rise up, my love, my fair one, and come away.","Ka hmangaitak chun a hril a, ka kuomah, Tlangvâl “Ka hmangai, ka enchimlo, tho la, hung rawh."
11,"For, lo, the winter is past; The rain is over and gone;","En ta, phalbi a liem tah a, Raw sûr khawm ân khêl tah a, a fe liem tah;"
12,"The flowers appear on the earth; The time of the singing of birds is come, And the voice of the turtle-dove is heard in our land;","Hnuoi chunga chun pârhai an hung inlang a, Vatehai hlasak hun a hung tlung tah a, Ei ramah vaṭhu râwl chu hriet a ni tah."
13,"The fig-tree ripeneth her green figs, And the vines are in blossom; They give forth their fragrance. Arise, my love, my fair one, and come away.","Theichang thinghai chun ra a hung insuo a; Grêp hruihai khawm chu a kumûm tah a, An riminhnik chu an tirsuok a, Tho la, ka hmangai, ka hmêlṭha, hung rawh,” tiin."
14,"O my dove, that art in the clefts of the rock, In the covert of the steep place, Let me see thy countenance, Let me hear thy voice; For sweet is thy voice, and thy countenance is comely.","Aw ka vaṭhu, lungpui kawi kârahai chun chêng a, Ṭênbaram kuokârhaia um, I hmêl mîn hmutir la, i râwl mîn hriettir rawh; I râwl chu ân nêm a, i hmêl hlak ngaino a bei sih a."
15,"Take us the foxes, the little foxes, That spoil the vineyards; For our vineyards are in blossom.","Sihalhai, sihal chînhai chu mi manpêk la, Grêp huon suksetuhai chu, Ei grêp huon chu a pâr lai tak a ni sih a."
16,"My beloved is mine, and I am his: He feedeth his flock among the lilies.","Ka hmangaitak chu ka ta a na, kei khawm a ta ka nih; Ama chun a ran ruol chu lilihai lai chun ân tlattir hlak."
17,"Until the day be cool, and the shadows flee away, Turn, my beloved, and be thou like a roe or a young hart Upon the mountains of Bether.","Sûnni chu a hung dei a, hlimhai chu a fe hmang chenin, Ka hmangaitak, kîr la, sakhi amanih, Sazuk lâ amanih ang ni rawh, Bether tlâng chunga chun."
