verse_no,en,hmr
1,"Woe to them that devise iniquity and work evil upon their beds! when the morning is light, they practise it, because it is in the power of their hand.","An khum laizâwla khawhlona suongtuotuhai le thil ṭha naw ngaituo suoktuhai chu an chung a rik de! Zîngkâra khuo a hung var hin chu chu an thaw hlak a, anni kut thil- thawtheina a ni si leiin."
2,"And they covet fields, and seize them; and houses, and take them away: and they oppress a man and his house, even a man and his heritage.","Mi lohai an inhnar a, an lâkpêk a, inhai an inhnar a, an lâk el bawk a; mi le an sûnghai, mi le an ro chenin an hnuoisieh a."
3,"Therefore thus saith Jehovah: Behold, against this family do I devise an evil, from which ye shall not remove your necks, neither shall ye walk haughtily; for it is an evil time.","Chuleiin, LALPAIN hieng ang hin a tih: Ngai ta, hi sûngkaw chunga hin thil ṭha naw ka suongtuo a nih; chutaka inthawk chun in rîng la hmang naw ti niu a, chapotakin fe ta naw bawk in tih; hun ṭha naw a ni ding a ni sih a."
4,"In that day shall they take up a parable against you, and lament with a doleful lamentation, and say, We are utterly ruined: he changeth the portion of my people: how doth he remove it from me! to the rebellious he divideth our fields.","Chu nia chun nangni demin tekhithu hril an ta, ṭap hla lungriem- ithlâk umtaka inzâwtin, “Rawk vawngin ei um tah a nih, ka mihai chan a sukdanglam a, ka kuoma inthawkin a tâwl hmang tah a ni hi! Hel hmanghai kuomah ei lo a sem dar tah a ni hi,” tîng an tih."
5,Therefore thou shalt have none that shall cast the line by lot in the assembly of Jehovah.,"Chuleiin, LALPA mihai in- khâwmhai lai chun aisân a, hruia inkhipêktu tukhawm nei naw ti ni."
6,"Prophesy ye not, thus they prophesy. They shall not prophesy to these: reproaches shall not depart.","“Thu hril naw rawh,” tiin an hril hlak a. Hieng mihai kuoma hin thu hril naw ni hai, hrilsietna chu inkieng naw bawk a tih."
7,"Shall it be said, O house of Jacob, Is the Spirit of Jehovah straitened? are these his doings? Do not my words do good to him that walketh uprightly?","Aw Jakob sûnghai, LALPA thla- rau chu hnâwdein a um am a nih? Hieng hi a thilthaw am a ni ti a ni dîm a nih? Indiktaka umhai chunga chun ka thu hin thil ṭha a thaw naw am a nih?"
8,But of late my people is risen up as an enemy: ye strip the robe from off the garment from them that pass by securely as men averse from war.,"Nisienlakhawm, ka mihai chu tulai hnaia hin hmêlma angin an hung ngîrdawk a nih; indo nuom lo a, râlmuongtaka mi inlawnhaia in- thawkin an silfên zakawfuolhai in hlîppêk a."
9,The women of my people ye cast out from their pleasant houses; from their young children ye take away my glory for ever.,"Ka mi nuhmeihai chu an in in- hawitaka inthawkin in hnawt dawk a, an naupangtêhaia inthawkin ka ropuina chu in lâk hmang sawng a nih."
10,"Arise ye, and depart; for this is not your resting-place; because of uncleanness that destroyeth, even with a grievous destruction.","Tho unla, fe hmang ro; hi hi in châwlna hmun a ni si nawh a; sietna nasatak chena sukse hlaktu in- thiengnawna chu a um leiin."
11,"If a man walking in a spirit of falsehood do lie, saying, I will prophesy unto thee of wine and of strong drink; he shall even be the prophet of this people.","Mumal neilo le indik nawtaka, “Uoin le zu thu i kuomah hril ka tih,” tia miin khêl a hril chun hieng mihai zâwlnei hi ni chau a tih."
12,"I will surely assemble, O Jacob, all of thee; I will surely gather the remnant of Israel; I will put them together as the sheep of Bozrah, as a flock in the midst of their pasture; they shall make great noise by reason of the multitude of men.","Aw Jakobhai, in rêngin ko khâwm ngei ka ti cheu a; Israel mi la um sunhai chu ṭhuoi khâwm ngei ka tih; Bozra khaw berâm angin sie khâwm ka ta, ran ruol an hlo petna hmuna um angin; mipui an ni lei chun sa mur mur an tih."
13,"The breaker is gone up before them: they have broken forth and passed on to the gate, and are gone out thereat; and their king is passed on before them, and Jehovah at the head of them.","Nêr thlengtu chu an hmaa chun fêng a ta, nêr thleng an ta, kawtkhâr chenin fe pei an ta, chutaka chun fe suok an tih: chun, an lal chu an hmaa chun fêng a ta, LALPA chun an hma ṭhuoi a tih."
