verse_no,en,hmr
1,"And they brought in the ark of God, and set it in the midst of the tent that David had pitched for it: and they offered burnt-offerings and peace-offerings before God.","Chun, Pathien bâwm chu an hung lâk lût a, Davidin a lo siem puon in lailung laitaka chun an inṭhut tah a; chun, Pathien hmaah pumrawhmang thilinhlânhai le inremna thilinhlânhai an inhlân tah a."
2,"And when David had made an end of offering the burnt-offering and the peace-offerings, he blessed the people in the name of Jehovah.","Chun, David chun pumraw- hmang thilinhlân le inremna thilin- hlân chu ân hlân hnung chun, LALPA hmingin mipuihai chu mal a sâwm tah a."
3,"And he dealt to every one of Israel, both man and woman, to every one a loaf of bread, and a portion of flesh, and a cake of raisins.","Chun, Israel mihai mi tin el chu a nuhmei a pasalin, bei tlang le sa tlin le grêp ra ṭâwl a pêk seng a."
4,"And he appointed certain of the Levites to minister before the ark of Jehovah, and to celebrate and to thank and praise Jehovah, the God of Israel:","Chun, Levi mihai mi ṭhenkhat chu LALPA Israelhai Pathien chu inpâka lâwmthu hrila, ama chawi- mawi dingin LALPA bâwm hmaa rawngbâwl hlak ding chun a ruot a;"
5,"Asaph the chief, and second to him Zechariah, Jeiel, and Shemiramoth, and Jehiel, and Mattithiah, and Eliab, and Benaiah, and Obed-edom, and Jeiel, with psalteries and with harps; and Asaph with cymbals, sounding aloud;","a hotu tak chu Asaph a na, ama dawta chun Zekaria, Jaaziel, Semira- moth, Jehiel, Mattithia, Eliab, Benaia, Obed-edom le Jeiel hai; ṭingṭang le perkhuong puhai an nih;"
6,"and Benaiah and Jahaziel the priests with trumpets continually, before the ark of the covenant of God.",Asaph chu dârbenthek inring- taka sutin; thiempu Benaia le Jahaziel hai chu Pathien thuthlung bâwm hmaa chun tawtawrâwt leh an um zing bawk a.
7,"Then on that day did David first ordain to give thanks unto Jehovah, by the hand of Asaph and his brethren.","Chun, chu ni chun David chun Asaph le a unauhai LALPA hmaa lâwmthu chu inhlân dingin a ruot hmasatak a."
8,"O give thanks unto Jehovah, call upon his name; Make known his doings among the peoples.","Aw, LALPA kuomah lâwmthu hril unla, a hming lam ro; Mi tin lai chun a thil thaw inhriettir ro."
9,"Sing unto him, sing praises unto him; Talk ye of all his marvellous works.","Ama chawimmawiin hla sak unla,ama inpâkin sak ro; A thilmak thaw po po thu hril ro."
10,Glory ye in his holy name; Let the heart of them rejoice that seek Jehovah.,A hming inthieng chu sawng ro; LALPA zawngtuhai lungril chu hlim raw se.
11,Seek ye Jehovah and his strength; Seek his face evermore.,"LALPA le a hrâtna chu zawng unla, A hmêl chu zawng rawp ro."
12,"Remember his marvellous works that he hath done, His wonders, and the judgments of his mouth,","A thilmak thawhai chu hre zing ro, A thilmakhai le a baua a rorêl suokhai chu:"
13,"O ye seed of Israel his servant, Ye children of Jacob, his chosen ones.","Aw, a siehlaw Israel thlahai, Jakob thla, a ithlanghai."
14,He is Jehovah our God; His judgments are in all the earth.,"Ama chu LALPA ei Pathien chu a nih, A rorêlhai chu hnuoi chung po poa hin a um."
15,"Remember his covenant for ever, The word which he commanded to a thousand generations,","A thuthlung chu kumkhuoin hre zing unla, Suon sâng khat chena a thu lo pêk chu."
16,"The covenant which he made with Abraham, And his oath unto Isaac,","Abraham kuoma a thuthlung le, Isak kuoma a inkhâmna chu."
17,"And confirmed the same unto Jacob for a statute, To Israel for an everlasting covenant,","Chu ma chu thuruot ni dingin Jakob kuomah a sukdet a, Israel kuoma kumkhawtluong thuthlung dingin;"
18,"Saying, Unto thee will I give the land of Canaan, The lot of your inheritance;","“Kanaan ram hi i kuomah pêng ka ti che, I rochanpuol ding chu,” tiin."
19,"When ye were but a few men in number, Yea, very few, and sojourners in it;","Mi tlâwmte chau in ni lai khan, Anih, mi tlâwmte chau, chutaka mikhuol in na;"
20,"And they went about from nation to nation, And from one kingdom to another people.","Hnam tum tum kuomah an fe lawn an fe lawn a, Ram tum tuma inthawkin mi tum tumhai kuomah."
21,"He suffered no man to do them wrong; Yea, he reproved kings for their sakes,","Tu inêksâwr khawm a phal nawh a. Anih, anni leiin lalhai khawm a kâwk a;"
22,"Saying, Touch not mine anointed ones, And do my prophets no harm.","“Ka hriek nâlhai chu tâwk naw unla, Ka zâwlneihai pawi hrim hrim khawm tâwk naw ro,” tiin."
23,"Sing unto Jehovah, all the earth; Show forth his salvation from day to day.","Leihnuoia um po pohai, LALPA chawimawiin hla sak ro, Ni tin a sandamna thu chu inhriettir ro."
24,"Declare his glory among the nations, His marvellous works among all the peoples.","Hnam tin lai chun a ropuizie hril unla, Mi tinrênghai lai chun a thilmak thawhai hril ro."
