verse_no,en,hmr
1,"The burden of Babylon, which Isaiah the son of Amoz did see.",Babulon phurrik Amoz naupa Isaiin a hmu chu.
2,"Set ye up an ensign upon the bare mountain, lift up the voice unto them, wave the hand, that they may go into the gates of the nobles.","Mi lienhai kawtkhârahai chun an lût theina dingin tlâng kawl ruoua chun inchikna târ suok unla, inring- takin anni chu ko unla, kutin hui ro."
3,"I have commanded my consecrated ones, yea, I have called my mighty men for mine anger, even my proudly exulting ones.","Keima ngeiin ka mi ruothai chu thu ka pêk tah a, anih, ka mi hrâttak, ka mi indutaka hlimhai chu ka lung- insen hrîkthlatu dingin ka ko tah."
4,"The noise of a multitude in the mountains, as of a great people! the noise of a tumult of the kingdoms of the nations gathered together! Jehovah of hosts is mustering the host for the battle.","Chu! tlânga mipui ri, mipui nasatak ri ang el chu! Chu! hnam tin rama mi um khâwmhai sa mur mur ri chu! Sipaihai LALPA chun râl thaw dingin sipaihai ân pun tâwl a ni chu."
5,"They come from a far country, from the uttermost part of heaven, even Jehovah, and the weapons of his indignation, to destroy the whole land.","Annirawi, LALPA le a lung- ninawna hriemhreihai chu, ram hla- taka inthawk, kâwlkawdawng tâwp rêta inthawkin, ram po po hi sukse dingin an hung a ni chu."
6,Wail ye; for the day of Jehovah is at hand; as destruction from the Almighty shall it come.,"Inrûm rak rak ro, LALPA ni chu a hnai ta sih a, Iengkimthawtheia in- thawka suksietna a hung tlung angin a hung tlung ding a nih."
7,"Therefore shall all hands be feeble, and every heart of man shall melt:","Chuleiin, kut po po chu hrât naw nih a, mihriem lungril tinrêng khawm intuihmang a tih;"
8,and they shall be dismayed; pangs and sorrows shall take hold of them; they shall be in pain as a woman in travail: they shall look in amazement one at another; their faces shall be faces of flame.,"chun, ṭîng an ta, natna le lungninawnahai chun man tâwl a tih; nuhmei nauhase angin nâng an ta, mak inti tuong an ta; an hmêlhai chu meichawk hmêl ang ni tâwl a tih."
9,"Behold, the day of Jehovah cometh, cruel, with wrath and fierce anger; to make the land a desolation, and to destroy the sinners thereof out of it.","Ngai ta, ram sukbohmang ding le chutaka mi suolhai chu a sûnga inthawka sukbohmang dingin LALPA ni chu nasatakin lunginsenna le lung- inthakna nasatak leh a hung tlung ding a nih."
10,"For the stars of heaven and the constellations thereof shall not give their light; the sun shall be darkened in its going forth, and the moon shall not cause its light to shine.","Vân arasihai le a sizuchohai chun an var insuo naw ni hai a, nisa chu a suok laia sukthimin um a ta, thla khawma a var chu ân vartir ta naw ding a nih."
11,"And I will punish the world for their evil, and the wicked for their iniquity: and I will cause the arrogancy of the proud to cease, and will lay low the haughtiness of the terrible.","Chun, khawvêl hi an suolna leiin hrem ka ta, mi rilohai chu an khawhlona leiin hrem bawk ka tih, chun, mi chapo ṭawnga mingem chu sukbo ka ta, mi ṭium chapona chu sukhnuoi bawk ka tih."
12,"I will make a man more rare than fine gold, even a man than the pure gold of Ophir.","Mi hi rângkachak inthieng nêk khawma vâng lemin siem ka ta, mihriem ngei hi Ophir rângkachak inthieng nêk khawma vâng lemin siem ka tih."
13,"Therefore I will make the heavens to tremble, and the earth shall be shaken out of its place, in the wrath of Jehovah of hosts, and in the day of his fierce anger.","Chuongchun, vân khi sukthin ka ta, sipaihai LALPA lunginsen leiin; a lunginsenna nasatak nia chun, hnuoi khawm hi a umna hmun sawn dawr khawpa sukhnîngin um a tih."
14,"And it shall come to pass, that as the chased roe, and as sheep that no man gathereth, they shall turn every man to his own people, and shall flee every man to his own land.","Chun, sakhi hnawt zêk ang le, berâm tukhawm ikhal khâwm lo angin mi tinin mâni chipuihai tieng seng nghâng an ta, mi tin mâni ram tieng seng tlân hmang an tih."
15,Every one that is found shall be thrust through; and every one that is taken shall fall by the sword.,"Tukhawm an hmu taphawt sun- thlengin um an ta, tukhawm an man taphawt kâwlhnâma sukthlûkin um an tih."
16,"Their infants also shall be dashed in pieces before their eyes; their houses shall be rifled, and their wives ravished.","An nautêhai khawm an mit- hmuah innâwi dar khawpa hnuoi vuoknaa hmangin um an ta, an inhai chu rawkin um a ta; an nuhmeihai chu pâwngsuol tuokin um bawk an tih."
17,"Behold, I will stir up the Medes against them, who shall not regard silver, and as for gold, they shall not delight in it.","Ngai ta, Media mihai anni thaw dingin chawktho ka ta, chuonghai chun tangka ngaisak naw ni hai a, rângkachak khawm lâwm naw ni hai."
18,And their bows shall dash the young men in pieces; and they shall have no pity on the fruit of the womb; their eye shall not spare children.,An thalngulhai chun tlangvâlhai chu suknâwi a ta; mi rîla ra lunginsietna hrim hrim nei naw ni hai a; an mit chun naupanghai khawm hla naw nih.
19,"And Babylon, the glory of kingdoms, the beauty of the Chaldeans’ pride, shall be as when God overthrew Sodom and Gomorrah.","Chun, Babulon ramhai ropuina, Kaldai mihai isuong thil mawitak chu, Pathienin Sodom le Gomorra a sukbohmang lai ang khan la um a tih."
20,"It shall never be inhabited, neither shall it be dwelt in from generation to generation: neither shall the Arabian pitch tent there; neither shall shepherds make their flocks to lie down there.","Iengtika khawm chutaka chun mi um ta naw ni hai a, suon um sûng po po chun a sûnga um um naw ni hai; Arab mihai chun chutaka chun an puon in chu zâr naw ni hai a; berâm vêngtuhaiin chutaka chun an berâm ruol chu inbawktir bawk naw ni hai."
21,"But wild beasts of the desert shall lie there; and their houses shall be full of doleful creatures; and ostriches shall dwell there, and wild goats shall dance there.","Thlalêra ramsahai chutaka chun bawk an ta; an inhai chu thil- hring nguitakhaiin sip a tih; varîng- seihai chutaka chun chêng an ta, sakêlhai chutaka chun inhnel lem tâng an tih."
22,"And wolves shall cry in their castles, and jackals in the pleasant palaces: and her time is near to come, and her days shall not be prolonged.","Satenehai chu an kulbîngahai chun inhrâm an ta, sihalhai khawm an lal in inhawitakahai chun inhrâm bawk an tih; chun, a hrem hun ding chu a tlung ding a ni tah a, a nihai khawm sukseiin um naw nih."
