verse_no,en,hmr
1,"Say ye unto your brethren, Ammi; and to your sisters, Ruhamah.","In naupahai kuoma chun, “Ka mihai” ti unla, in farnuhai kuoma chun, “Lunginsietna dawngtu” ti ro."
2,"Contend with your mother, contend; for she is not my wife, neither am I her husband; and let her put away her whoredoms from her face, and her adulteries from between her breasts;","In nu hi ngên ro, ngên ro; Ama hi ka nuhmei a ni si nawh a. Kei khawm a pasal ka ni nawh; A hmêla inthawkin a nawchizawr chîng hi pei thla sienla, A ṭânghai laia inthawkin a uiret chîng hi pei thla raw se."
3,"lest I strip her naked, and set her as in the day that she was born, and make her as a wilderness, and set her like a dry land, and slay her with thirst.","Chuong naw chun saruokin siem ka ta, A pieng nia a um angin inumtir ka tih, Thlalêr angin siem ka ta, Ram ṭâwl angin inumtir ka ta, Dangchârin sukhlum ka tih."
4,"Yea, upon her children will I have no mercy; for they are children of whoredom;","A nauhai khawm lainat naw ning, Nawchizawr nauhai an ni sih a."
5,"for their mother hath played the harlot; she that conceived them hath done shamefully; for she said, I will go after my lovers, that give me my bread and my water, my wool and my flax, mine oil and my drink.","An nu chun nawchi a zawr hlak a, Anni vawntu chu inzâpuiumtakin a um a; Ka bu dâm, ka tui dâm, ka sahmul dâm, Ka pat dâm, ka hriek dâm le, ka dâwn dinghai mi petu. Ka dit zâwnghai chu hnawt ka tih, a ti a nih."
6,"Therefore, behold, I will hedge up thy way with thorns, and I will build a wall against her, that she shall not find her paths.","Chuleiin, ngai ta, i lampui chu hlingin hruk ka ta, Ama dang dingin dai sak ka ta, A lampuihai chu hmu naw nih."
7,"And she shall follow after her lovers, but she shall not overtake them; and she shall seek them, but shall not find them: then shall she say, I will go and return to my first husband; for then was it better with me than now.","Chun, a dit zâwnghai chu hnawt a ta, Hnawt phâk naw nih. Anni chu zawng a ta, hmu naw nih; Chuongchun, Ka pasal hmasa kuomah kîr nâwk ka tih. Tulai nêk hin kha hma kha ka ta dingin a ṭha lem si, tîng a tih."
8,"For she did not know that I gave her the grain, and the new wine, and the oil, and multiplied unto her silver and gold, which they used for Baal.","Bu dâm, uoin dâm, hriek dâm hi, Tangka ka sukpungpêkhai hi, Rângkachak Baal ta dinga an hmanghai leh; Keima pêk a nih ti a hriet si nawh a;"
9,"Therefore will I take back my grain in the time thereof, and my new wine in the season thereof, and will pluck away my wool and my flax which should have covered her nakedness.","Chuleiin, ka bu chu a hunah, Ka uoin khawm chu a hunah la kîr nâwk ka ta, Ka sahmul le ka pat, a saruok inkhumna ding chu lâkpêk ka tih."
10,"And now will I uncover her lewdness in the sight of her lovers, and none shall deliver her out of my hand.","Chuongchun, a dit zâwnghai mithmua chun, A saruok zâmaw chu suklang ka tih; Ka kuta inthawk chun tu- khawma sansuok naw ni hai."
