verse_no,en,hmr
1,"In the tenth year, in the tenth month, in the twelfth day of the month, the word of Jehovah came unto me, saying,","Kum sâwmna, thla sâwmna, chu thlaa ni sâwmpahni ni chun, LALPA thu chu ka kuomah a hung tlung a,"
2,"Son of man, set thy face against Pharaoh king of Egypt, and prophesy against him, and against all Egypt;","“Mihriem naupa, Aigupta lal Pharao tieng chun i hmai innghat la, Aigupta ram po po le, ama chunga chun thu hril la,"
3,"speak, and say, Thus saith the Lord Jehovah: Behold, I am against thee, Pharaoh king of Egypt, the great monster that lieth in the midst of his rivers, that hath said, My river is mine own, and I have made it for myself.","hieng hin ti rawh; Lalpa PATHIEN chun hieng hin a tih: ‘Ngai ta, Aigupta lal Pharao, Rûlpui a vadungpuihai laia bawk a, Ka vadungpui hi keia ta bîk a na, Keima ta dingin ka siem tah,’ titu, ka dodâl che a nih."
4,"And I will put hooks in thy jaws, and I will cause the fish of thy rivers to stick unto thy scales; and I will bring thee up out of the midst of thy rivers, with all the fish of thy rivers which stick unto thy scales.","I khâka chun ngakuoihaiin inkuoitir ka ta, I vadungpuia ngahai chu i phuhlipa chun inkawptir tâwl ka tih; Chuongchun, i phuhlipa kawp i vadungpuia i ngahai po po le chun, I vadungpuia inthawk chun hung la suok ka ti cheh a."
5,"And I will cast thee forth into the wilderness, thee and all the fish of thy rivers: thou shalt fall upon the open field; thou shalt not be brought together, nor gathered; I have given thee for food to the beasts of the earth and to the birds of the heavens.","Thlalêra chun peihâwna umin mâksan ka ti che, Nang le i vadungpuia ngahai po po le chun; Ram hmun âwng chunga chun tlâng i ta, Lâk khâwm ni ta naw ti nih a, phûm khawm ni ta naw ti nih. Hnuoia ramsahai le chunglêng vatehai ta dingin, Bu dingin ka pêk ta che a nih."
6,"And all the inhabitants of Egypt shall know that I am Jehovah, because they have been a staff of reed to the house of Israel.","“Chun, Aigupta ram hluotuhai po po chun, Israel sûngkuo phairuong kuonghai an ni ve leiin, LALPA chu ka nih ti mi hre tâng an tih."
7,"When they took hold of thee by thy hand, thou didst break, and didst rend all their shoulders; and when they leaned upon thee, thou brakest, and madest all their loins to be at a stand.","I kuta an chel lai che chu în tleng dawk a, an liengkohai po po i suk- thlêrpêk a; chun, an innghai pha che khawma, în tâwl hmang a, an kâwng- hai chu ngîr ṭâwk dingin i siem a."
8,"Therefore thus saith the Lord Jehovah: Behold, I will bring a sword upon thee, and will cut off from thee man and beast.","Chuleiin, Lalpa PATHIEN chun hieng hin a tih: Ngai ta, i chungah kâwlhnâm hung inlet ka ta, nangmaa inthawkin sahai le mihriemhai chu sât thlâng ka tih."
9,"And the land of Egypt shall be a desolation and a waste; and they shall know that I am Jehovah. Because he hath said, The river is mine, and I have made it;","Chun, Aigupta ram chu ram sie le râusan hung ni tâng a ta; ama chun, Vadungpui chu ka ta a na, keia siem a nih, a ti tâk lei khan, LALPA chu ka nih ti mi hre tâng an tih."
10,"therefore, behold, I am against thee, and against thy rivers, and I will make the land of Egypt an utter waste and desolation, from the tower of Seveneh even unto the border of Ethiopia.","Chuleiin, ngai ta, ka dodâl che a nih; i vadungpuihai khawm chu; Aigupta ram chu se letdêr le râusan- ah Suene in insânga inthawka Ethio- pia ramri chenin ka siem ding a nih."
11,"No foot of man shall pass through it, nor foot of beast shall pass through it, neither shall it be inhabited forty years.","Mihriem ke chun fethleng ta naw nih a, sa ke khawm chu fethleng ta bawk naw ni; chun, kum sâwmli sûng chu hluoin um bawk ta naw nih."
12,"And I will make the land of Egypt a desolation in the midst of the countries that are desolate; and her cities among the cities that are laid waste shall be a desolation forty years; and I will scatter the Egyptians among the nations, and will disperse them through the countries.","Aigupta ram chu ram râusana umhai laia chun râusanah siem ka ta, a khawpuihai khawm chu suksieta um khawpuiahai kum sâwmli sûng chu râusanin um a tih; chun, Aigupta mihai chu hnamhai laia chun sukdar ka ta, rambunghaia chun anni chu sukdar ka tih."
13,For thus saith the Lord Jehovah: At the end of forty years will I gather the Egyptians from the peoples whither they were scattered;,Lalpa PATHIEN chun hieng hin a ti sih a. Kum sâwmli tâwpa chun Aigupta mihai chu sukdara an umna hnamhai laia inthawk chu kei khâwm ka ta;
14,"and I will bring back the captivity of Egypt, and will cause them to return into the land of Pathros, into the land of their birth; and they shall be there a base kingdom.","chun, Aigupta sal nina chu hung intlungtir nâwk ka ta, an pieng- na Pathros rama chun inkîrtir nâwk ka ta; chutaka chun lalram inhnuoi nîng an tih."
15,"It shall be the basest of the kingdoms; neither shall it any more lift itself up above the nations: and I will diminish them, that they shall no more rule over the nations.",Lalrama chun ân hnuoi tak nîng a ta; hnamhai chunga chun ama le ama chu indawm sâng ngai ta naw nih a; hnamhai chunga ro an rêl nâwk ta nawna dingin anni chu suktlâwm ka tih.
16,"And it shall be no more the confidence of the house of Israel, bringing iniquity to remembrance, when they turn to look after them: and they shall know that I am the Lord Jehovah.","Anni chu enkawl dinga an hung kîr pha, suolna chu hriet zing dinga siemin, Israel sûngkuoa chun ringumna hrim um ta naw nih a; chun, Lalpa PATHIEN chu ka ni ti mi hre tâng an tih,” tiin."
