verse_no,en,hmr
1,What advantage then hath the Jew? or what is the profit of circumcision?,Anleh Juda mi chun sâwtna ieng am a nei chuong bîk a? Sertan khawm chu a sâwtna ieng am a ni leh?
2,"Much every way: first of all, that they were intrusted with the oracles of God.",Kawng tinrêngah a sâwt hle. Pathien thuhai an kuomah inkawl- tira a um lei a ni tak.
3,For what if some were without faith? shall their want of faith make of none effect the faithfulness of God?,Anni laia ṭhenkhathai ringum nawhai sien khawm ieng am a ni chuong leh? An ringumnawna chun Pathien ringumzie chu ieng khawm niloin a siem chuong am a nih?
4,"God forbid: yea, let God be found true, but every man a liar; as it is written, That thou mightest be justified in thy words, And mightest prevail when thou comest into judgment.","Teu lo e! Pathien chu mi indiktak lo ni raw se, mi tin chu mi khêlhlip lo nihai sien khawm: “Nangin i thu hrilin thiem în changtir thei a, rorêlpêka i um khawma i hne theina dingin,” ti ziek ang khan."
5,"But if our unrighteousness commendeth the righteousness of God, what shall we say? Is God unrighteous who visiteth with wrath? (I speak after the manner of men.)","Nisienlakhawm, ei fel nawnahai hin Pathien felna chu a suklang mawi zuol si chun ieng am hril ei ta? Pathienin mi a hrem hin, mi fel lo a ni am a nih? (Mihriem dân takin hril ta inla)."
6,God forbid: for then how shall God judge the world?,Teu lo e! Chuong a ni chun Pathienin iengtin am khawvêl ro rêl a ta?
7,"But if the truth of God through my lie abounded unto his glory, why am I also still judged as a sinner?","Nisienlakhawm, ka khêl hril leia Pathien thu indikzie ama sukropui khawp raua ân lang nâwk pei chun, ieng dinga kei khawm mi suol anga thiemnaw inchangtira la um rawp am ka na?"
8,"and why not (as we are slanderously reported, and as some affirm that we say), Let us do evil, that good may come? whose condemnation is just.","Mîn an mi hêk a, mi ṭhenkhatin ka hril naw tawp an mîn hriltir angin ieng dinga, “Thil ṭha a hung theina dingin thil suol thâwng ei tiu,” tiin ei hril lem naw? Chuong ang mihai chun thiemnaw an chang chu a fel a nih."
9,"What then? are we better than they? No, in no wise: for we before laid to the charge both of Jews and Greeks, that they are all under sin;","Annawleh, eini Judahai hi anni nêkin ei ṭha chuong bîk am a nih? Teu lo e! Judahai le Grikhai chu angkhat rawnga suolna suoka um vawng ei nih ti hi hma khawmin ei hril ta kha;"
10,"as it is written, There is none righteous, no, not one;","“Tukhawm mi fel hrim an um nawh. Pakhat bêk khawm an um nawh,"
